,Missed States
0,Iowa
1,Washington
2,Louisiana
3,Georgia
4,California
5,New Mexico
6,New Hampshire
7,Wisconsin
8,Minnesota
9,Nevada
10,Kansas
11,West Virginia
12,Alaska
13,Colorado
14,Arkansas
15,Florida
16,Hawaii
17,Michigan
18,Rhode Island
19,Oklahoma
20,Indiana
21,Nebraska
22,Texas
23,Alabama
24,Missouri
25,South Dakota
26,Montana
27,Tennessee
28,Arizona
29,Vermont
30,Wyoming
31,Maryland
32,Mississippi
33,Utah
34,Illinois
35,Connecticut
36,Virginia
37,South Carolina
38,Kentucky
39,Massachusetts
40,Ohio
41,Pennsylvania
42,Idaho
43,New Jersey
44,North Dakota
45,Delaware
46,Oregon
47,Maine
48,North Carolina
